PM10,PM2.5
8,5
8,5
8,5
9,5
9,5
15,7
14,7
11,6
12,7
11,7
10,6
10,6
11,6
12,6
10,7
12,6
16,7
15,7
11,5
11,5
8,4
7,4
7,4
10,4
9,4
8,4
10,4
9,4
9,5
8,5
5,3
7,4
7,3
7,3
8,4
8,5
11,8
10,8
11,9
12,9
13,9
11,8
16,9
13,7
9,4
4,2
3,2
3,2
2,2
3,2
5,2
4,2
5,2
8,3
7,3
7,3
8,3
7,3
6,3
6,3
7,3
8,4
9,4
14,5
22,7
25,7
29,6
18,5
21,5
10,4
10,4
12,4
33,8
33,7
14,5
8,4
9,4
8,4
10,5
12,6
15,7
14,7
15,8
15,8
17,11
14,8
15,8
22,10
26,11
23,10
22,10
23,9
14,7
16,6
9,5
10,5
9,5
12,5
14,6
10,6
14,7
17,10
18,10
17,9
17,10
18,10
15,8
14,8
15,9
16,10
15,10
18,11
19,13
18,12
18,12
12,8
10,6
12,7
13,8
12,6
10,6
10,5
9,4
8,4
8,3
9,4
8,4
7,3
7,3
6,3
7,3
7,4
11,5
13,6
16,7
24,9
14,6
12,6
13,6
13,6
15,7
17,8
17,8
17,8
16,8
16,7
17,7
14,7
14,7
14,7
13,7
11,6
11,7
11,6
10,7
10,6
10,6
11,7
14,7
13,7
19,8
14,7
15,7
16,8
16,8
15,7
16,7
13,7
